Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
47,0.8456554649879829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.8620226314393972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.8795265017063387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.8943737865323264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.9083747444768511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.9230193213989412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.937470171147053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.95203862569173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.9674786386924057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.9826115962605951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.998519462524697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.013790124618319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.0299520172430014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.0478014317849416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.0667674504135412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.083811165185559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.099811832325496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.115299742552409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1.1307649871276204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.1470081339753841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.1629711675804204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.1874885602606977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.2056647023101859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1.221776987093408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1.2416102876399497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.2583922782828845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1.2768733374958303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.2912865537090414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1.3067547918608928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1.3220365729534627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.337429971689318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1.3529127500705629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.3673490595892812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.3814813072521532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1.395953112036744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1.4105446598869282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1.4276807478809754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1.4433367260535253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1.4592552836627692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1.4744771932225424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1.491303659861269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1.5085081724642269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1.524617891324615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1.5405090790902949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1.5556570045416833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1.5706864698888956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1.5852899920456391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1.600153527716243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1.6144239075583533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1.6318884336751713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1.6481512525979969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1.6662316001950102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1.6826582105254155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1.6993311494478989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1.71586638384495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1.7332009032048377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1.7492828245678558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1.7644966087053209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1.7801927863356055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1.7959800542265025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1.8102230642250485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1.8258982868188545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
