Sampling Freq:,Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
,68,1.953505150009943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,69,1.982009925823606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,70,2.0100139201016103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,71,2.038410499733786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,72,2.0664923268379987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,73,2.095789543459156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,74,2.1252522617492287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,75,2.154899726088323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,76,2.183295022761825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,77,2.2114961650226976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,78,2.2394723618627705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,79,2.2670354460098916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,80,2.2957296720543803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,81,2.3243088594711216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,82,2.3528166288550234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,83,2.3814522664534103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,84,2.409600807408659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,85,2.437869946479241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,86,2.4656096512704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,87,2.493848426985753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,88,2.5246325927098012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,89,2.555188819442811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,90,2.5838911708922336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,91,2.612665368027387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,92,2.6411633013947897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,93,2.6690094917559213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,94,2.6976810521971735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,95,2.726669075777954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,96,2.7564213150754058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,97,2.7848833255999437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98,2.813030583596518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,99,2.8412176133119793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,100,2.869514549820493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,101,2.8968347271253814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,102,2.92600963501964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,103,2.954606783857814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,104,2.9839916693216786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,105,3.0125289467550767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,106,3.041748758202917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,107,3.0694196108786342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,108,3.0972568205290494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,109,3.125868081912635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,110,3.154423748420357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,111,3.1828767782341782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,112,3.211286615105983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,113,3.2394458473835126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,114,3.267126536075729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,115,3.294883346982588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,116,3.3232837754907854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,117,3.352952194821551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
