Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,12.322431890931407,145,101,-2461,-3549,7255,-949,-7610,3444,-1518,-7385,-4956,52,-6176,22,-3038,1820,-6864
50,12.567286264430612,126,6792,-4711,-500,4687,-3242,-6600,1906,-482,3361,2910,248,4743,-65,-4712,1910,6175
51,12.82225719472533,-48,5683,1202,4775,4454,5574,-1167,-6835,-2270,1064,133,226,-7994,35,2850,5968,1932
52,13.059307330612036,-33,4521,-4019,-4368,3727,6848,4414,6467,5456,4316,-729,110,6419,68,-4641,-699,-2653
53,13.301564140449763,-78,1699,-3535,262,1088,1644,6170,-5692,-3563,3779,2246,123,-1477,59,3393,-6740,-2886
54,13.682661027350541,70,312,5886,-477,2765,-6896,7870,7828,-7016,4381,-4115,23,5800,-24,-7234,-3414,2617
55,13.945069696729952,-34,-4842,-2097,4123,557,5470,-6479,-5480,-4556,-3472,944,88,6279,-55,-376,2064,-1812
56,14.196278992193196,129,-2251,-3540,1593,8047,5853,7190,-968,7561,-2316,-1,110,6582,130,6477,-4669,318
57,14.462172604983438,-68,331,2317,-5775,-1619,-3563,-1607,-6756,-1679,-7077,-4168,245,-3470,10,7652,5062,-4026
58,14.70749953492748,-40,4875,5749,1230,5250,-7708,5161,4799,4156,4064,3467,250,-2548,50,-2263,1637,1927
59,14.941413264509729,-67,3866,5183,-2858,-1938,-5757,7003,-3568,-5521,4441,2008,119,7175,-5,969,3915,6146
60,15.181903867906575,95,-6765,-6080,-5144,4493,-4548,-3437,2216,-3001,-2852,-7951,107,5360,71,7627,6691,-3859
61,15.424397169793165,-81,4473,-8095,7824,-7396,-1417,5191,-3331,-2334,22,4971,60,-6810,91,-2867,-6987,-8049
62,15.669354179986273,-34,-708,-7459,5151,-7128,-642,6748,-634,-7002,-3748,4198,249,1499,49,7610,5056,-3698
63,15.907627830794857,-33,6343,5941,-5267,418,687,-7130,6311,7840,-1940,-3139,89,2242,121,2894,-5110,7962
64,16.142387030143112,81,-5048,6606,6720,5759,-2029,-6615,-2557,2064,6098,7370,98,1256,147,-2092,169,1527
65,16.393048929905554,54,-4787,-1614,-6077,-4506,2116,1125,-185,-4404,4426,-783,126,-7239,-91,-2445,1180,6933
66,16.631456008416208,23,-550,-426,2674,-7877,-5801,2592,5671,4326,6865,-5190,108,4198,-77,-2962,-7063,2425
67,16.86165899386104,134,-2346,-1514,-4326,-4187,-159,2195,7671,-2219,1395,5650,126,-3597,101,-1327,-4491,5485
68,17.115622373943964,-41,6628,-2857,-503,4056,-7571,1476,-6933,4975,962,4752,120,-4875,-8,-6998,2520,-5726
69,17.362966542576054,89,4217,7108,-246,4762,-575,5533,668,-5487,-3072,2002,102,-7544,40,-3652,562,-801
70,17.63042664790696,105,-7045,-1301,-3752,4160,-1871,5871,-6340,-3790,-5940,-1994,106,-3634,112,2957,225,898
71,17.89061152225185,18,-7493,-4149,-7786,7737,1297,7076,44,4271,3267,-1213,118,-5013,147,6349,-151,-3985
72,18.1511551973725,82,-7910,7676,-4032,7606,-7145,-951,-3083,6913,3887,6188,41,-2329,77,-6351,-6144,5182
73,18.541888814524803,44,-2462,-2673,-5063,-4621,8122,-1700,-4272,-132,7835,-870,86,2732,-32,6184,3377,7321
74,18.777452001308617,-73,-7568,1622,1840,6887,-5899,1065,7163,-4989,-1700,3510,86,-1751,25,-7680,-4483,-6641
75,19.023118915301207,-19,-314,4764,-6157,7007,8009,-3579,-3884,6005,-5503,4694,25,4563,46,5315,7786,-5535
76,19.27463141666435,138,-6308,-7074,1837,5990,1315,-893,-5433,-117,-2748,2650,255,-5741,-93,6298,-6825,1286
77,19.524777567039937,42,-1880,-4859,4713,4171,-6438,6088,-759,4768,-7309,-5211,248,3337,3,-6474,1075,-1520
78,19.76366789331771,129,-1699,1031,6439,3114,77,-6399,4676,-6127,6863,-7131,249,-4670,70,-7646,-4830,7887
79,20.01184170855883,-60,-7413,-7180,-5536,-7923,-1506,-969,6553,-2957,-3428,-2384,245,-428,-30,-7763,-5452,-409
80,20.25423579497465,63,-5540,-5997,-1942,-3563,-3726,2806,2400,990,-6155,-7276,125,-7810,75,1357,2283,369
81,20.493688057151534,122,2861,5699,-2790,-4683,-5817,2368,-157,-3808,1515,-6786,253,2887,133,-7311,-635,-6046
82,20.748668395809858,141,5853,532,-6163,1516,4673,4950,-1542,-2376,3496,5679,97,-1292,-5,-6534,-6500,3730
83,20.99193403881805,140,5345,4774,-7450,1030,4695,-6634,1430,406,-7769,7364,254,192,45,4886,7316,-1790
84,21.242514684531155,-50,-635,-4515,259,537,-3818,7774,8176,-5417,-4374,-933,59,3493,81,7939,-7528,-5009
85,21.481455046197205,-105,86,6251,-1147,-6488,5163,1465,6543,3236,-3141,5727,232,8078,68,-2204,-5341,-1149
86,21.72667463526554,147,-3636,4298,6297,-5311,-718,-4274,6939,-2389,-1476,-4920,250,3016,88,-7018,7423,7175
87,21.97093713716325,143,6339,2366,2184,8169,-3091,-1956,-5202,190,4891,-7881,255,-2387,-27,5604,-752,5280
88,22.22137109793465,-71,-1655,-3918,3370,6724,2318,1183,5166,75,5650,1982,126,-682,28,-4861,5417,1362
89,22.477963687993004,71,4095,6512,-3153,-3840,-7514,-815,-3683,4355,3454,-6054,247,4035,140,7624,7163,-8130
90,22.732278598752536,64,1780,4753,5440,6960,-240,-5563,6640,4825,-1865,-6596,21,-2418,63,4464,-1820,7528
91,22.98480036093904,-57,-2707,1051,6620,6955,2638,-581,-270,-2035,-3156,-324,247,-7993,-21,-6574,3089,4625
92,23.23305158135348,138,-4281,75,8113,-783,-1134,3457,-5441,3410,-4159,7628,86,-1497,-103,2034,7887,-4739
93,23.672863499611903,72,-1860,6292,2728,-1238,6122,2191,7584,2770,3350,3481,100,5789,9,1652,-3760,2508
94,23.916584592949288,27,-5272,468,-3968,3693,5802,2224,7216,3654,-2074,5589,60,2613,-61,8116,586,-6058
95,24.157618315518025,147,-2603,980,1088,-1389,-2990,-7805,3150,6824,-7203,8089,103,-1606,-97,557,-4878,5569
96,24.398371070137213,-90,-2183,4133,-636,3825,-3874,6393,-5749,-115,-206,-6830,28,-6818,-101,6767,-3396,579
97,24.652002591576522,145,7962,6520,7241,7119,389,4859,7301,7597,1801,828,103,-2090,42,-1057,4328,4020
98,24.896654257605274,-34,3188,-2862,-7223,1860,221,-4912,4686,1714,1974,-630,63,-3812,-80,-4559,-5449,4835
99,25.15175134550291,135,-3418,-3695,2887,7426,-1521,-1492,1745,1394,7351,-1807,127,4962,16,7492,-1213,4234
100,25.406128265931674,1,-4762,447,-6030,1082,-2232,-5163,2453,2716,-3346,2015,89,2733,-79,4080,-2202,-1694
101,25.6588544462002,0,3266,-4635,3199,3042,-6801,7520,-6841,342,-5770,2727,238,-8021,5,-7199,1582,-6620
102,25.909763956986673,-104,4607,-3174,990,-2400,-6685,-1488,-2659,-1968,4869,-6476,126,-5591,48,-4437,4756,-3798
103,26.153056114474126,7,872,-1149,-2441,-2765,4227,8155,-4380,938,3623,-1225,240,1485,-86,-3681,-1863,-5187
104,26.258839906001896,46,-684,7351,4769,2700,-4668,2903,4756,-4307,-4845,-2141,61,4658,139,6302,-4557,-651
105,26.3319771034642,17,2344,-3162,2074,2582,2158,-1703,4104,-5461,-4014,7365,232,1442,63,-475,-22,5443
106,26.39906643373839,52,6339,888,-617,3228,-3539,-5677,2371,-3833,4889,-4471,43,-4163,67,-7189,-7131,-1248
107,26.474870902283453,33,872,-668,1510,204,6367,-5158,1897,7127,816,595,91,-744,76,-4827,707,3249
108,26.550221203458,21,-1753,2805,-8153,276,5247,6197,7940,-7926,-440,2449,50,-787,-70,-1861,-7801,-4839
109,26.62011593669882,-51,-5400,-7578,1262,-6115,8182,7921,7694,4096,3036,-4115,127,4871,37,3759,-202,-7670
110,26.695277215295434,103,-5330,-2748,4683,4414,2542,3951,-591,4673,-7890,-6789,34,-2370,83,6244,-7994,-6098
111,26.762762552146924,-20,2838,-3616,-4038,-655,2564,3811,-3552,6628,-3685,4794,35,7972,-31,5696,-2735,3574
112,26.8376077952569,-104,-2373,-4808,8104,-7404,-1948,-3629,-5608,4965,6899,2806,108,4266,89,-6361,-7484,-1214
113,26.90478864324982,-32,-212,738,3073,6192,-7538,-8142,2283,-5420,6063,-2028,236,-3004,17,5073,-2951,-678
