Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03599725446843815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.28952485625517194,148,-6639,-8014,3563,-7713,3386,-7387,-6524,331,4772,-3563,16,5891,20,-2748,495,7679
3,0.5352221336030397,62,167,6852,3929,8088,4443,-5194,7867,3428,-8091,-2536,113,2498,87,6556,-6120,3457
4,0.7888096067945491,12,-6790,-160,839,112,7047,5258,-165,3440,807,-1475,92,-6633,-60,-2828,3677,-1658
5,0.908540869717685,-68,3455,7226,6380,188,-667,-5358,-3712,1984,433,-2541,61,-10,80,6378,4248,2815
6,0.9744255017972113,-17,-1218,-2490,7434,-480,3689,3813,-111,7258,-4320,7478,234,-6631,17,-825,-2749,2396
7,1.0412488319730409,93,-2321,2079,3799,1608,-6201,1260,-1770,-6102,6380,-7398,44,-6797,50,-7268,-5678,-545
8,1.1137086272556018,56,-683,815,4455,-7344,-1535,5093,7264,-5433,4228,6876,21,-800,-37,2636,3050,5432
9,1.1794337448066903,137,-6664,6948,-5653,4872,-2521,-5220,-1382,-1480,108,4541,105,6438,-5,-2170,-5117,5546
10,1.2477435964325196,111,3803,3290,2412,2897,-7497,6077,-4045,-3057,-1851,1373,103,5453,-39,-8013,-6909,6175
11,1.322841154748337,115,7292,4320,6076,2222,-8103,2027,-6185,6003,-210,-4978,227,-774,21,-460,6494,-5948
12,1.3962067188545746,87,-6849,-1680,6776,4865,5323,7025,-368,-7940,-1345,1062,98,3773,69,-991,-4344,-1124
13,1.4656566930884878,112,-3064,5330,6259,5836,3124,7657,6654,5944,2276,-7760,30,-2161,-36,-136,1081,-1565
14,1.5389161992776943,17,5926,3121,6994,1522,2952,3829,-6757,-322,-6743,-3533,233,-7305,-100,930,3679,2486
15,1.6049274166130318,26,-6266,4701,4198,-8177,-5807,6718,-4647,6033,-2095,-6152,251,1833,-48,-5318,211,1437
16,1.6761675458497356,-84,2018,33,-5976,-7511,4512,6621,6430,-3144,-7344,5790,103,2165,51,6267,-6509,3889
17,1.7446394779213503,9,2158,330,8100,1257,683,2965,-2909,-6789,5105,6289,63,6204,60,-6058,-4419,8175
18,1.8115038627747402,95,-6619,-1833,3072,6215,-5220,1153,739,-2063,-5519,6886,240,4263,68,1837,4854,2565
19,1.8861292922986128,126,-2272,-5508,-545,-7079,-1037,6928,-4483,-8172,-405,-4421,24,2517,89,-961,-4609,-1388
20,1.9558089161351297,-68,157,7871,-1056,-1527,7625,-2625,8146,203,6895,-2057,112,5272,-101,5341,-5801,-672
21,2.0273616596353405,-103,3068,130,-3287,6233,6220,-7650,-221,7983,-550,-3864,54,-500,93,-7700,911,1388
22,2.1118376458563644,148,1922,-7971,341,-4826,7225,-7334,-2083,-4168,7364,-5909,120,1842,-105,-890,-6128,1409
23,2.1842743478827975,32,5425,-5743,-6482,7812,4557,-958,7386,3111,-288,-1911,234,6434,95,6979,-633,-2811
24,2.249147153221616,-29,6498,-3191,-4975,-5065,-76,7423,3478,-3951,-4794,1061,83,6495,-58,-2933,7027,2668
