Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.035150929396645915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3013088316736837,15,-118,4557,5060,-5191,2220,8025,7909,-2028,3541,7908,33,-2930,-23,5619,1967,948
3,0.5650393761399622,96,-303,-417,6880,5897,2981,-2424,-1952,2611,-7930,1862,56,-6741,0,-1078,-8120,-6505
4,0.8314247897551473,-47,1077,-533,-4144,-468,2096,-245,-6561,-2748,-3496,-2066,95,401,79,6628,552,-5513
5,1.0936311793169955,-95,-4668,-3769,-6876,1111,1008,3519,5733,-5929,5336,5166,102,3709,22,-6543,-3989,-4348
6,1.3538930311823105,-58,7555,2981,2218,-4069,-4121,830,3197,-520,7071,5688,240,-1583,6,-4572,-3077,-744
7,1.6033545092789987,101,-2738,-516,-6513,-5971,-5875,-858,-7716,8008,-7249,-5860,122,-252,-3,6193,6765,212
8,1.8570792590486007,79,2743,6586,-7630,5298,6961,5518,4137,6441,-1524,4990,95,7784,89,6936,-1886,6224
9,2.1196705362125776,134,4605,-7965,-440,-6505,6083,-7945,1603,-4039,2374,-1821,28,7868,-8,6803,-6583,-8085
10,2.362035542231792,49,-7338,-90,15,4665,-5946,-3336,-5984,-3307,-5148,3108,230,-5475,-36,-613,-8036,-7083
11,2.612909557828293,-58,3570,2170,-5131,-2596,6352,-7638,7223,-6512,-7480,6126,89,3499,-9,-2622,4648,-2025
12,2.865468953469227,-10,2983,3438,3131,6581,-5963,3930,3155,-39,-6891,8153,240,-2670,89,6214,4236,-4900
13,3.0558831139117624,-63,-2342,7294,-7238,-3065,-3067,1804,860,-1158,-5288,5720,109,-4563,54,6769,2155,-8029
14,3.129710970793446,-13,-7826,-3941,1331,6531,-6415,2713,-7947,-8058,-5640,6209,63,4477,-47,6814,-4645,-84
15,3.1969700792654634,-92,-7307,-3997,-6998,1674,3719,-6323,-2026,-2066,5748,-2642,87,-1981,-106,-1904,4368,-1003
16,3.2714462579302883,-31,921,-6191,-1518,8136,-3629,-543,-4348,5882,-5332,1501,127,-1235,36,3692,4867,877
17,3.3448618574248026,18,1529,-4308,-21,749,2271,-2901,3918,6863,997,5286,84,3493,128,-2954,4166,-4930
18,3.4179857976474812,29,7822,-7316,-2335,3117,120,7104,7250,-1428,-6901,7215,57,-1849,-8,3859,-3929,-3275
19,3.491810233306035,-91,-6536,3626,3592,1472,3102,3272,8165,7345,-3327,-4649,84,-748,-106,473,-4197,-4394
20,3.5609044003344246,-26,1181,3876,6090,2242,-1092,-1688,-8102,-6077,-5769,-2592,108,-3161,-14,1974,1579,-3213
21,3.6323181566449776,78,7820,-4567,-4928,4499,4806,-5043,3454,3278,-3307,6108,233,-4551,-42,-2131,4260,6824
22,3.701792507093692,-84,-2678,-5610,7634,-6805,-1138,-3567,-4914,-6676,7400,2763,91,6762,50,-3448,7647,-6240
23,3.7729526652397314,84,545,-6718,-5,-3061,-5222,85,1059,-3109,-6380,7447,52,-1268,-102,2095,-3380,1797
24,3.8382210495029603,-25,-4673,-7679,-2496,2499,0,-6770,-2549,3326,-3392,4365,231,-4703,57,-8169,225,3162
25,3.906964968813413,-64,509,3643,1951,-3482,-4920,823,-2502,4245,-4761,2047,228,1727,-67,7395,5436,-2846
26,3.982227173492363,-71,-4667,4613,-2745,1015,-2829,-6267,-3726,-5620,-6348,1146,86,5750,-55,-398,708,827
27,4.0477243520524135,75,-7940,3533,3654,6839,58,-3173,8027,-648,-7364,-3320,121,2790,34,140,-1955,-7141
28,4.120367182772431,25,-7357,1809,-4526,-2845,-6807,8069,7962,-4570,7629,-4303,59,-3425,33,4303,-73,-5205
29,4.193335029689802,-68,-5111,-460,-6953,5376,-206,-85,7261,-4971,-517,3952,110,-7352,-58,1684,-2896,1956
30,4.263907592763258,-5,3067,-5328,5139,2043,-3554,-7611,3957,-621,-7847,-8098,102,-6504,-76,7345,5226,-2453
31,4.34220142878831,-105,-2480,6154,-5706,742,6519,-5987,4179,-862,-4230,-7576,232,3569,38,-2987,1023,3697
32,4.410635727405494,-27,-4131,3512,-4371,-166,-5149,7231,4190,-6607,4968,5879,31,4705,-102,6720,-8075,6013
33,4.478389630272693,42,-5414,-6962,2531,-7159,-2787,7285,3774,1576,-2423,-6531,26,5101,76,5112,-5120,-7253
34,4.546486083105786,62,3292,-5364,-6653,1676,3043,5291,3837,6454,3753,-7093,83,326,96,5346,-5019,-3939
35,4.613840130519662,-44,2436,5311,-3896,4676,-1710,-4483,2306,1456,7286,661,245,-3228,65,5066,-1869,461
36,4.686320880793895,-98,-2133,-6846,-2411,-5063,2551,2916,4439,5370,-5707,3752,102,6029,40,-480,2964,3364
37,4.752012641419466,33,-6222,-5219,1263,-3159,-478,6356,-7627,5109,4282,-6020,224,-5950,54,-440,7505,2550
38,4.820914792299682,-38,5917,2891,1667,4811,306,-299,-4585,-5504,7163,2660,43,7133,42,1333,4204,-6818
39,4.896171865143938,63,-2159,4620,4098,-6856,6929,7190,1999,-1423,5074,7647,19,2221,-64,-40,-6009,6249
40,4.973489369618256,142,5849,-1118,-6698,-232,3005,-6878,426,5997,-2499,250,95,-1456,-104,-1549,5853,2945
41,5.04295345639758,-71,4692,-7043,2790,-140,4458,3639,-6015,2274,3982,-5233,27,-1343,56,-2354,-994,4860
42,5.117149094765742,-29,5661,7741,3789,-7208,1523,677,7617,-7641,-6838,7654,46,2815,41,-666,1520,2369
43,5.192240238288191,-105,6582,3552,3072,-4653,-2665,8043,6991,6909,3338,4191,93,3075,45,-4638,-7803,-105
44,5.259312034793839,-35,4777,-7129,4084,-5331,2566,-2831,4180,6997,5441,1981,248,-6025,73,-1938,7931,5157
45,5.33414145474684,-47,-6391,-5539,-1908,6638,-7329,-6778,2587,-6861,-3535,4069,122,-5562,86,-4158,-5427,2846
46,5.4011473927072355,-91,-1159,7405,-4206,4817,-6488,-719,7528,-3244,7883,-7705,22,5820,139,-1503,1580,-6514
47,5.479596466731812,109,-5407,-1732,1024,2061,4317,1477,-8176,-2434,7361,8179,246,5686,94,5407,2260,6301
48,5.546505327485892,-53,5568,2004,-5933,897,6281,1169,2184,-5562,-2716,6974,81,-3612,-5,695,-7114,235
49,5.613775982585974,14,7161,862,7614,8108,2931,-1929,1174,1839,5971,1501,255,551,120,-5884,6361,4321
50,5.684637639013918,18,-6934,-6409,-2688,-7671,-7080,-7847,3566,6452,-5228,419,253,1533,-69,-7459,1569,6092
