Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.04335373950379435,-16,7476,-7412,-2209,7683,-4189,7950,-2984,-3055,5582,-2169,91,5940,-62,-2573,1668,6669
2,0.304502971118462,-23,790,-2758,-6156,-4641,-752,-5448,-4142,-5104,-5489,-3002,114,-7417,37,-7616,6408,6508
3,0.572353095886193,-81,-6961,-3327,-628,-5535,-4767,-3123,415,4761,-796,-5877,116,-7512,96,6638,3400,4317
4,0.8302307828827654,16,-990,-579,-4194,4767,3930,-4287,-5800,4712,581,-138,81,6403,34,379,-7861,-1457
5,1.129674192644798,-45,6806,2819,2631,-632,-2366,-2839,3514,-5887,-4179,-160,100,-3909,110,5109,-1609,5119
6,1.4063476518648874,-3,4642,-3344,6048,5781,-1513,717,-1215,3118,8005,-415,115,-4554,77,-1864,-7139,7298
7,1.6586196647628986,80,3499,-3541,-6980,-1786,1244,6386,5507,2619,1606,5713,27,-2668,1,3695,-6489,-927
8,1.7301035561476172,58,-373,754,-6430,4432,-7944,-4289,-1558,74,-4549,1981,103,-572,108,3591,-5234,1453
9,1.800196720329977,140,5731,5630,-6152,583,8072,1397,-7512,-3846,6434,-6354,127,-401,-75,-4543,-4341,3113
10,1.8721121134819712,91,4650,6092,7266,-5571,-7438,1939,-3778,-843,-960,635,58,-3836,66,519,-3387,-3422
11,1.948236038736799,-95,-3639,4592,-6384,-8176,-6005,-3628,7546,-7964,567,6517,108,-7642,-103,3933,-3547,-5808
12,2.019081444354875,108,178,-6387,-3769,-1473,-3321,-518,681,-1124,-4225,3224,255,-2028,-68,6475,251,5148
13,2.08946284658594,5,-1640,7771,-513,6959,-3647,4058,-319,1538,-146,7947,240,-5859,-62,4204,7200,5274
14,2.165807868385546,19,-5205,7756,1817,-5803,-3666,-5903,2831,-7366,5877,6563,81,-3351,46,-4348,-6778,1360
15,2.2319730407617353,18,2266,2112,1175,4868,3293,2388,-3508,7658,4394,-6310,123,-5397,92,3155,4528,3709
16,2.307577367753689,-5,1803,4431,-1060,-6089,5839,2684,-1177,-3604,7165,-2864,111,4050,88,-7491,-5954,1908
17,2.3755793092978155,-35,3124,-4189,-2122,2674,4686,-7888,-1614,-1313,-1115,6354,21,-7179,76,5109,525,1542
18,2.45167500946182,100,2541,-5121,7995,-1491,-5343,-879,3340,1943,7369,-4903,26,7694,87,7348,4159,2957
19,2.524868229452882,7,5960,-1662,-1978,6147,-7761,5436,1166,-1352,8094,4565,123,6958,45,-7918,2035,1140
20,2.595790612591384,-11,4308,-893,-802,62,-1632,-2974,7159,6214,-128,-6285,232,-4509,148,3879,7142,-4005
21,2.6671663077946155,48,2506,2005,-6553,-5145,5243,7004,-1948,-3464,1896,-1404,16,4978,-63,-2385,6769,-3605
22,2.740634936247645,71,-3743,-2845,5576,-7706,8091,7541,7741,-2124,-5486,207,83,-2176,83,-6254,-3267,-7210
23,2.811705287286521,-39,2737,-1463,7826,7291,-3716,-2566,4189,7165,-7498,6837,31,7827,-91,-1000,5870,-4710
24,2.8779568455467435,-87,-6079,6160,2076,-4855,2932,-3006,-1877,5909,5149,3826,34,4440,126,3785,-3000,1268
25,2.953101445680599,-3,-4404,7701,-1010,-3443,-5613,-4292,-5347,-3075,959,6303,106,-1836,-54,-6965,2109,5008
26,3.031094641723099,148,3438,-5947,-1741,-4423,-4258,6453,-3951,4554,4337,-6017,48,-4515,-63,7357,-5276,-4263
27,3.0944283243062936,-69,1569,8183,-1165,-3876,4337,2361,3004,1487,-1058,-2052,237,5202,38,-4941,-556,948
28,3.1661799264009374,-79,-1367,-6269,-5131,490,5299,3417,7160,-7537,-3678,6777,107,-998,143,4184,211,2907
29,3.2326662660984584,95,2271,1243,4916,2363,-3442,-2440,6794,-2841,2532,6594,49,-4000,-79,7776,5426,-5151
30,3.300118246024432,-81,6655,967,-3550,-815,-3648,-1127,-7273,-2062,-5028,5555,97,2450,54,4902,-1009,2749
31,3.3750143798284684,-34,-3020,5931,-4476,-8167,6732,-2704,1591,-8134,-3788,-856,18,-7702,75,7051,6595,1734
32,3.444206907021847,148,2375,-3373,-730,-449,661,-2287,2298,4119,-3172,-6124,41,3123,63,-2325,1775,6222
33,3.5189927063799398,-42,1670,5875,459,5069,3853,7304,-3225,-4584,4038,-933,86,-3192,147,497,3480,-624
