Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,3.923232457143835,138,5577,-1621,158,2158,-7719,6893,7747,-8063,3886,5143,26,7471,45,6901,-3759,1679
50,3.9892560764130187,104,-1169,863,-5339,-2003,6304,5147,-1076,3795,1688,2544,46,-1706,20,7382,-5539,5971
51,4.064001676399334,21,2910,-283,-4987,-2016,-1847,-2810,2460,5176,6257,-1246,101,1518,144,-7756,3827,-1045
52,4.131205617648379,-62,-3646,3920,-6037,-3959,3181,7851,-2461,5472,5252,-7818,97,6127,49,2929,5011,4370
53,4.201802984589528,-97,7758,4462,-4006,-855,1440,3895,-3435,7313,-6945,3404,52,5782,-15,-1915,7244,-4951
54,4.274908963390774,117,5536,-6337,-7773,-6697,-5489,-1001,2022,2781,-3290,7956,26,-6497,-22,1001,4186,-2216
55,4.351407940231232,-93,2607,1095,-404,7317,-7746,4946,-7168,-5235,-7207,4179,81,-2373,146,810,-1670,-2740
56,4.429820663760053,48,5672,7821,3002,-6343,-4589,4348,-6639,2252,1467,1045,28,-4428,-70,4406,5683,7727
57,4.507157412614477,69,2496,2700,-909,3123,5602,-5792,-4635,7144,-4989,-2318,85,-4353,-77,3038,-6165,-2620
58,4.576513303212315,76,-3919,-1439,1348,-7882,2797,8141,2823,5093,-7006,-5014,93,-3640,-18,5797,828,-4866
59,4.650204738821688,8,1117,4421,-2223,-866,-208,4775,-4038,-6245,-1423,-3312,91,-1321,-25,7058,-2319,-3366
60,4.716554657246899,-76,-2904,4763,3565,5614,6732,5369,-751,-2180,-2468,7983,249,-5734,-63,-5409,5112,3095
61,4.791021427548117,83,-2406,6529,-5183,4805,1546,6540,-3070,-3013,-2555,-6554,109,-3242,126,-4614,-5813,294
62,4.867472507264753,-52,6893,-1623,7798,-3574,6384,-7438,5241,-3720,1903,-967,127,4176,-67,-5227,-156,-2815
63,4.934946297488181,-5,-4596,1156,2275,687,3859,-3941,-3928,2554,7957,-6496,116,-3135,67,1804,-4840,4077
64,5.008604376172036,-83,8122,5342,-5579,4953,-7036,8001,4679,-3255,7613,-2242,24,6777,78,-3727,2960,5370
65,5.07496199234929,138,96,-444,4611,-3844,4433,-4494,-6514,-89,-7423,6028,35,-2779,73,2772,-8000,3129
66,5.147976881084698,-13,1571,5276,2635,-3326,7781,679,-2362,6965,2228,-1802,84,-5329,148,-4032,5104,1930
67,5.21608616350453,117,5549,-6337,1584,-6697,2254,-1001,7216,2781,5794,7956,97,-6497,-22,1001,-3671,689
68,5.281911779485063,146,5178,5638,7879,3966,-4984,-1046,3597,-3338,4902,1507,121,4681,128,-3266,-5231,7030
69,5.359227573347816,-91,-910,694,2529,-2680,6577,4589,-5873,-2621,3623,-2881,97,-4852,24,3339,6127,-2004
70,5.430135843940907,134,2354,779,-7142,-2215,6450,1353,180,3887,3373,5229,51,638,27,-2235,-4234,-7294
71,5.501083030947101,-5,3104,4888,-7064,-1804,4197,6247,-2788,6828,-875,4713,48,6916,109,-6891,-1021,-7381
72,5.567205010381274,-14,6097,-5102,-7899,-6785,7443,4031,-6905,488,-6306,3362,45,-7784,-13,-5500,6679,6263
