Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.04053422399175485,136,-3831,4324,-400,3041,1643,6167,6531,-6194,-2827,8106,0,5306,-39,-7363,371,5692
2,0.30390938890540103,-77,2817,6723,1803,-1798,5955,4352,3588,-4845,7574,-3071,245,-512,119,5112,844,-4635
3,0.5746761063914863,-31,4144,-1950,3781,-1687,7710,-5136,-4776,-7963,-3791,-1402,88,-6492,33,3028,-2214,-2576
4,0.810632306182364,-97,1602,-8138,-4618,-3860,752,-2026,-5336,-8014,-6611,1520,84,1632,30,-2676,7779,-1981
5,0.8798727304995627,-53,2955,2895,-7138,6476,1147,-2616,4695,7779,-7812,4569,235,1587,116,5223,4480,1492
6,0.9522046575676386,-42,-6741,1365,6348,2389,1064,-7666,-5920,-2001,5528,3501,250,8182,-58,6327,3154,-6186
7,1.025234941807133,105,6032,4967,-3702,4408,-6153,2568,-4858,2329,-7486,6081,243,-3050,-23,-3948,-4056,-7778
8,1.099617464488773,47,-7317,2720,-3329,-3501,-1701,-1939,926,7398,-3615,-6581,229,-3903,-53,-709,2574,2176
9,1.1720062693913857,95,2872,3230,-6097,-2584,-374,-6325,1372,-3232,7047,159,117,-1914,42,7798,-2367,5650
10,1.2419886714749107,-64,-5548,6844,3620,1860,5617,5766,1496,2534,2065,-8015,124,3179,-63,-6327,7201,-1514
11,1.3151412644413036,-64,-2702,-1301,7390,2558,-1500,5602,2433,238,4229,-4590,19,1169,-35,6016,-7867,4514
12,1.3817969546837614,-102,-5689,7714,888,-1714,-7040,793,7605,-1983,-3830,842,236,4014,-80,-4463,55,-3859
13,1.4545163352713137,-81,-1509,283,3585,-6453,5957,-6625,-4873,-2518,7893,3759,103,5284,-56,-6569,-855,-1934
14,1.521860546668691,87,6266,1857,2564,-7016,174,2271,-4615,371,-6477,4357,112,-1804,-86,-5641,-4375,-7473
15,1.5979399960228282,-81,8109,5793,-51,6286,5989,6417,5708,4510,-2768,5686,87,-5495,-99,8117,-2818,7607
16,1.6688072119383581,17,7421,-737,-5738,-2019,-1338,6688,6220,-3727,-1904,4084,55,6909,128,-3851,-2160,-5507
17,1.7402474827281689,78,-131,-3764,-1701,2688,-7557,2815,8087,-5890,-7369,-4546,26,2580,86,7105,-4286,5457
18,1.8074681024399735,119,-3309,-4141,3410,5701,-6087,-6640,4477,-2718,-223,-5708,96,-2194,-23,3140,553,6247
19,1.8813139207430896,55,3718,-3349,-1622,304,-1269,-1476,5990,1729,6932,5854,240,4348,120,1994,-1417,5691
20,1.9488505759415313,-22,-6032,295,-5973,6803,-6609,6509,-6825,-4948,2187,3549,54,1572,19,-5625,3357,-5877
21,2.0143695647990354,-67,1185,-932,6971,7446,2611,-881,1082,6590,3034,2191,92,5538,-102,-6434,-6141,3024
22,2.0905294128967284,6,-1257,5023,-6154,4846,-79,-2868,1809,3025,-184,-1068,55,-5666,52,-6970,479,4727
23,2.161929484314761,31,-7493,4423,-7578,-3699,-3135,8087,2707,8019,5147,-3352,44,3755,78,-3522,3455,-7950
24,2.2320979154059817,-4,1687,5590,-7280,-4754,5790,-2876,-4135,604,72,-7524,123,-7568,-74,-4302,-1034,6083
25,2.2963001610113136,143,6289,1261,4600,952,-6391,-5657,-6962,324,-7138,7026,59,-5210,-67,-4286,-5961,-6021
26,2.3684973774186444,25,4390,-1571,-1496,2677,-1627,-1837,-3640,-5747,-822,2303,233,7762,100,430,4347,1013
27,2.436000675691568,-13,6954,7382,-498,-6111,-4757,2947,-5211,-2832,4712,-6246,88,1456,135,5067,-1344,6738
28,2.5026088964630966,64,4514,5859,4502,-5220,-863,5248,1100,-6392,-1564,2025,103,4801,-37,-7317,-1368,-1699
29,2.575580164603598,66,1943,102,-5715,3080,197,-4506,-2502,2948,-5201,-1181,122,-6749,63,6673,2680,7544
30,2.6445511675993063,140,-8074,-3988,-580,-6222,-7761,-6216,-5521,-3466,5439,1588,232,5527,123,1852,3542,-7680
31,2.71989633693916,-103,-5523,3135,1435,112,1180,5713,-3582,2597,1548,-8191,43,-1176,3,-4179,905,1383
32,2.787255943840622,11,-3816,-4092,-7190,6509,3245,-732,1012,-2092,-8050,-1769,117,369,118,-3418,613,7340
33,2.857460297774708,88,-2166,-6827,-4570,-7275,-1987,5959,-1499,7967,-5116,-2371,239,7635,27,-7063,6761,7830
34,2.9253412135506096,125,4200,1360,-2882,-7177,-3426,-4964,6783,-1546,-2129,-7456,108,-8006,-39,-4962,-4565,-730
