Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.043173697636576296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.31057435921559906,74,2719,2609,6380,-766,6216,-1400,-3484,258,7412,-6872,81,-5449,90,2225,-5141,-6831
3,0.5781678922485776,-46,-6991,-1322,-6406,-2354,-8045,-1761,-515,-8136,-6567,-2205,27,3090,77,7695,-4482,5797
4,0.8412740634936248,58,-3360,5712,-2604,832,2035,-8004,-4304,-16,548,-623,254,5608,5,-7047,-1369,-6352
5,1.0988596635654704,123,-7050,7783,2966,-827,872,-8057,-2086,6764,-1659,5503,37,-1717,-10,4160,3476,6498
6,1.2149212370287532,149,-4486,7349,6961,-5410,-4982,-7376,-3222,3361,6895,5094,55,-7108,-28,331,-3810,7634
7,1.285930861357071,-32,8095,3358,-483,168,3965,1517,-7773,33,-1883,2201,50,405,-72,4444,-2017,-211
8,1.3527593233675954,75,6243,-6267,4558,-6636,6881,7313,-4976,7009,7388,-4388,56,5817,78,-2874,6120,4639
9,1.429478541447049,60,4032,1436,-4203,5492,728,-3178,-2962,-60,3768,-5801,120,-4315,-12,-3903,-2433,5854
10,1.4974069266938796,10,2129,-3286,-3881,8072,3948,-903,-3068,2917,6431,-4093,28,-3573,78,4554,6081,-3209
11,1.569926165728325,131,7037,-6569,-1656,-4331,1462,-3838,4782,-536,747,-7879,242,6507,112,-1428,7951,6933
12,1.6458448175953506,-97,1480,5582,2512,-3978,7414,8171,-1644,4803,5401,-1309,224,-3173,-103,-6796,3542,6239
13,1.7138360678171956,104,-536,-7881,-7033,1919,878,-3826,-3070,4476,5708,2116,30,-6680,-6,7956,-3186,-2678
14,1.7895011215197074,136,-3267,-3340,5217,2984,653,-4132,813,1314,6200,186,16,-5791,51,8110,1817,1821
15,1.856876551578146,-92,5381,-7412,4747,-1979,-1122,-1299,-5165,647,-4434,7872,238,587,102,-3654,-7306,1113
16,1.928702137622977,31,-7620,6103,-4388,-1747,-5741,985,-1026,-526,5366,-2962,93,5612,10,2531,-4139,-4925
17,1.9958081463599255,-49,8146,-2284,-8147,1966,-4161,6216,-4033,5828,-1754,-5504,93,1160,1,-4316,-2108,2726
18,2.066339654755821,23,-942,5918,-693,3193,-2634,-4964,-2323,-1258,-5652,6448,45,4669,30,5899,-7526,-5202
19,2.1359671049396045,-98,-8078,-1090,5287,5134,-3635,3780,-559,-5119,-6519,-1098,52,-641,129,5388,-3525,5918
20,2.213983821891124,-96,-7290,-1692,-6782,8154,6295,4257,3499,3585,5909,7932,231,-1948,-65,-5050,-1327,-1589
21,2.282332162277166,144,3202,-2003,7909,-8191,-29,641,1166,-7390,-2903,-7182,51,6946,125,-1103,6359,2737
22,2.3561027136714214,-40,-3857,3746,-5983,-7895,-7500,8187,1371,3136,-6972,-311,57,1734,16,-2386,4151,-1246
23,2.4232463558628003,-84,-7623,6713,-6528,616,1050,-3072,2357,1645,-3267,-7698,224,-3386,110,5263,5319,-1240
24,2.498351184277769,108,7015,-608,-3571,-2518,6210,-3380,2732,4428,-5606,-1557,248,897,11,4879,3066,-7199
25,2.5656778619066047,-104,3627,4108,-6583,-193,-8166,-992,5528,-4909,6919,-6472,98,-3891,-46,5753,-3882,4458
26,2.640151474654082,-90,-3722,6247,-2566,5432,-5261,-5805,5549,-1624,482,7750,255,-5097,-54,-5239,8042,662
27,2.7158071199929865,-73,2073,838,5216,6139,-4913,-6157,-6321,-274,7475,5252,41,6298,-60,6755,6967,5199
28,2.7910389613166577,-105,-5420,-5797,-7173,-7726,1813,4215,1028,-5606,-5146,5701,96,6662,-17,-3024,6522,-7272
29,2.862205961908957,35,-2023,5619,-4840,5401,1198,-7548,-2350,-7170,1067,-7890,57,-6521,-24,3579,5403,-2612
30,2.9372799993157552,-24,-3430,7919,964,-5487,5079,1856,-3362,-5547,-3690,-3403,121,-2137,-74,-667,1957,-5771
31,3.0072949030190155,14,6920,-4113,-1203,-6187,3163,-2048,-3879,3542,-3656,-3206,21,7431,138,-4325,5934,6402
32,3.0801780746639182,72,-824,-5696,5097,-2323,1481,-3158,510,-1624,-6459,-3821,101,5034,-65,-1624,-1648,-249
33,3.1472567136158265,38,-1844,-223,1152,-4748,5491,-923,8096,-4197,-2497,-3741,228,-3093,103,-429,-6198,-6764
34,3.2205427342842907,-79,-331,-1285,-2814,-3291,1089,-2746,-7160,7905,-4226,930,30,6582,-71,-2759,-4355,4282
35,3.2866612924953333,121,-4064,-7579,-6637,-3479,3674,6170,-932,-4854,2112,-6601,232,3817,104,-6061,-4325,-755
36,3.360003335692552,-88,1647,6749,7467,-3752,4734,-5119,3033,2506,-214,-3139,21,951,-77,-5676,7679,7290
37,3.4263831898201507,-61,385,89,-6004,5113,3207,-4974,-6434,2062,7688,7043,252,487,-51,5689,3327,6540
38,3.4937385201927005,125,-7228,-3816,1520,-6067,103,6643,7258,6853,6835,1167,105,-1887,2,4973,4972,-6610
39,3.561283300796076,54,4323,-5734,-3949,3302,-1841,-440,-1536,6325,6855,-6644,58,370,-48,5993,-2065,-6161
40,3.633700758442403,-56,-4487,5448,-6401,1104,-8172,-2418,-1692,-7041,7539,1607,52,8117,74,-177,5112,-405
41,3.7016962851931603,74,-416,-2779,-3065,-3065,3111,-2345,-3786,3860,-3690,-891,122,1355,130,6313,-768,6819
42,3.772647321075376,30,4587,1235,-5684,-7415,6935,-486,-2308,-921,-5580,6984,117,-4249,62,-1945,-4127,6480
43,3.8432669259668697,64,-6563,-289,-7771,-1278,4385,-7045,2685,-704,-3972,48,63,2004,-13,-2131,6480,5861
44,3.9178273522512717,48,1659,-603,-3124,-7302,8104,-2396,6583,48,-7458,1221,227,2217,-4,1980,-5935,-7529
45,3.9942241200507196,75,1189,-2691,-7270,132,-230,1845,-6947,-6884,6543,-3964,28,3648,103,1799,-252,5807
46,4.062232904041106,93,8048,3615,-3712,6744,2921,2633,7085,-6364,5025,5310,116,-2665,-6,1927,6231,-6253
47,4.1357126514693086,77,2575,-15,-1736,-7782,-7619,8064,-3845,3348,713,7510,89,-856,73,6913,7381,-3160
48,4.20377788564134,-74,6396,4100,928,123,-2295,-5498,-1979,2207,-6871,6381,235,-952,-105,-673,-5776,1321
49,4.283193882853044,-94,-265,-6746,8014,1744,2506,7969,-749,1234,-354,-6220,114,-4695,-22,-6298,655,1060
50,4.352743500210619,-43,-658,-4369,1229,-8035,3881,-1922,7199,4980,-8160,5260,63,-2894,143,7645,-5168,2571
51,4.423311786755162,63,7562,-5822,-893,3584,-477,-792,-3082,6304,-1623,140,27,-4866,-15,4756,-4882,-995
52,4.492839166162392,9,-2144,2250,4443,-4337,2574,-1864,7658,-5749,3848,1125,117,5155,62,259,-1105,417
53,4.560516519162057,-79,-5254,-4610,7204,5578,-846,5961,-81,-6384,-6381,3237,105,-653,134,7419,-6457,-1202
54,4.625775495061678,-7,-5817,-5341,-2954,5803,6333,-1503,-6550,-167,-4489,-453,121,5418,59,-6867,-2997,-3441
55,4.701851950845577,0,-6155,-2450,4420,-2524,4171,4396,2180,2226,-3621,3551,91,-7489,-96,-7736,803,2393
56,4.776982010781129,-22,3663,-3510,-6341,-5787,-3996,-7116,-3428,4616,6138,-875,114,-5367,-31,-4210,-3032,-1550
57,4.845311534439957,145,1396,-953,-285,4307,-3305,514,398,-4468,-3279,4107,250,6120,-90,-558,-5767,2663
58,4.912690813374416,33,-4435,208,-6682,-501,7856,6196,4092,2591,454,-2373,27,-722,-5,4790,2595,225
59,4.985330222871304,-92,4479,-744,-1682,-4400,-2497,982,4043,3339,-1821,-1239,124,-5053,10,-2328,-3311,6406
60,5.051607867957894,-86,1993,3148,-6820,-3057,3851,7440,-8121,7109,-2901,-3224,117,-4733,51,-7536,-4775,7247
61,5.125254400013685,-71,8009,5501,3317,-8026,2792,3869,3863,3494,5161,2804,125,-6512,-98,8088,6870,-7673
62,5.200292942230509,16,-1815,-6348,4821,-7143,8154,-7197,-4504,3506,3514,5806,112,3790,57,-2448,6550,-162
63,5.27137184632721,69,-3949,-4264,6046,5594,-2930,-1516,-1058,-369,-1945,6668,109,-844,-56,-1448,-2466,-7701
64,5.342023097532657,117,3440,5234,1338,5970,5203,8143,-6509,2571,1299,-3883,234,-2095,141,1617,-3748,7108
65,5.41665921837881,89,6284,-4114,-3954,-3928,6395,3851,-2974,6373,4172,-1425,98,5092,21,7480,-2885,3026
66,5.493356198507919,-97,-7282,1239,-5787,162,2663,-6101,-6557,-5626,-2795,712,124,791,47,-7411,-2252,30
67,5.560824856896652,-52,-4015,6333,-6224,1382,-440,-6090,298,256,-7524,-3026,240,-8170,-50,-4079,-3061,7677
68,5.63343390303826,132,-5123,126,5254,5713,3948,7698,5933,-1263,-5970,-4542,114,7657,117,174,3864,4094
