Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,4.811712129732781,131,-3645,2658,4499,-3350,-247,1108,-7087,-6306,-665,2909,21,-1322,-58,4519,4300,-4715
50,4.889819936750137,124,-1369,-2123,-5160,-3135,-5548,2743,7345,-5829,2619,2951,92,-6225,-10,151,-2727,-7224
51,4.967699377123564,33,-4368,-3778,-1956,2136,-4768,5192,2025,-340,-2761,3933,53,-2108,50,-3599,-229,-3118
52,5.048361982513273,8,7889,707,-3088,-3826,-6136,-2868,-2339,-1097,7908,-3987,57,-6172,-71,-8107,2805,-7568
53,5.121591980652983,48,4318,6936,-3380,-2791,7889,-874,-1165,1680,2181,-7482,82,-3079,108,415,-3279,-2817
54,5.196107075730913,64,-7376,-2090,7737,-1222,7962,4540,-3322,7683,-1241,327,56,-3059,109,1647,-7073,355
55,5.26398670854814,12,-1172,-926,-355,-4528,6566,2688,-377,3310,-3998,-7166,57,4018,-68,-5703,-5691,-5349
56,5.335882857320027,-75,-1381,2321,6840,3976,2232,7671,1704,7264,6242,-291,249,-5648,107,7355,6684,-7904
57,5.4085034500897,20,5949,6152,4759,-1453,314,-2724,-7205,-531,2540,5402,27,7251,17,852,-2738,-3736
58,5.485622095969585,-47,3563,-4325,3968,895,-2832,-5125,5862,5029,-7545,3474,244,-8025,-56,-4289,6579,-7889
59,5.556538064314719,-29,18,-4132,2962,-1560,7059,3075,5305,1258,-3094,-2142,125,-6984,23,4109,4395,7553
60,5.627392878296402,4,-3835,3154,2926,867,7034,2957,-1721,3257,1110,5155,240,-7422,-83,1836,-7526,-3355
61,5.693189841533221,-96,-6521,6367,-6445,5784,6343,-1490,-7007,3071,-3666,613,246,-6425,31,-270,7492,278
62,5.766374936119349,101,6800,6907,1750,-899,3320,7527,3468,-5518,6681,-6553,49,4659,-19,-5070,1736,-2366
63,5.837263534679442,-85,3367,-285,2991,3738,-6152,-4692,-718,-3990,4624,93,85,-4436,145,-731,2971,-2659
64,5.910747558636557,39,-7451,-2776,-7963,6057,-950,-7439,7869,-3580,6165,4670,119,-226,-57,-3781,6180,-3740
65,5.981491182866515,61,-410,-3992,-2580,1963,1420,-5255,3688,966,-1233,-6124,124,8035,58,5925,-6807,4615
66,6.052057331146601,-49,6703,-4474,-5470,-6607,-7804,-556,340,7643,-3505,3753,93,4835,115,1754,-4298,-6458
67,6.117699484036787,104,-5800,-5952,-321,482,3043,8114,-3078,5429,7707,-4109,106,6681,-74,-6247,4357,4958
