Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03432555931652515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.29273054232801404,-9,-2903,-8149,3747,-6027,1212,7847,-2526,5083,2102,5404,252,6218,-32,-6745,3333,-6815
3,0.5531903974819797,114,-4235,-5509,3467,8005,2443,-3396,5853,-7114,2948,-4801,248,-6544,-53,-395,-1673,-7727
4,0.6548789849230974,73,-601,-1162,1218,-1657,-2255,4782,2101,-2517,2144,6275,32,5665,-13,-2446,6723,-3485
5,0.7260622363252642,-97,-6700,-149,4454,-1425,-4469,6673,-4678,513,-5817,7634,115,-6640,10,5765,-2719,-518
6,0.7971005133972959,-41,663,-7677,-6900,-3881,-971,3452,-6233,-3702,-2551,7711,242,6898,64,-890,302,-5325
7,0.8652350273377111,77,4990,4652,3221,-3906,-8066,-4391,-3427,-1769,-6093,-1322,96,-5324,-57,1061,-4858,-5468
8,0.9428985030010542,116,4553,-4647,-7336,4035,6843,-7091,-557,-5369,-2589,-883,127,2090,48,2856,7145,5754
9,1.0237864814644546,-39,-677,-952,-7810,7730,5612,-5710,-7196,-6057,7725,-2200,28,6998,67,-3744,-1194,-383
10,1.0989404899619175,0,-7433,1358,-7264,4137,-2653,-4365,-5100,-6843,-7413,-6188,240,6292,48,6696,2245,275
11,1.1652343858583742,-84,2037,-5894,-8150,4227,2047,1974,-2432,-1897,2542,-6182,232,4489,-55,7864,-1197,-4174
12,1.2370206278372096,125,-7674,-8129,-1505,-1165,-770,1684,3154,-823,5574,-3167,62,824,30,1925,6517,-249
13,1.304956710836083,114,-3367,7451,3585,-2480,-3026,3871,4002,-380,-8026,2287,124,138,34,1633,2641,7853
14,1.3795368091534825,-28,1557,-5730,3372,-1316,-4879,-7346,2550,-330,-2742,-7455,103,4047,-69,-8043,3355,-5840
15,1.4459880813139208,135,893,-1635,-5865,-567,-2478,857,4177,-3638,4568,-7155,105,-2363,68,8020,-843,1843
16,1.5227902640542776,49,-5997,2286,4694,7326,-2291,3427,1786,5867,7334,1086,241,-5670,-81,-3558,-4658,4296
17,1.5975174749662688,-17,-844,-4036,1515,-7835,2761,-4982,-1093,-6325,4769,-5181,98,-1421,61,-5493,-2750,-1122
