Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,5.776762624847916,-14,143,7139,-8053,7857,2389,-1432,-3705,-2517,8115,130,27,3896,-104,7047,-8084,-7032
50,5.841918964053637,25,5230,-664,4722,-5640,949,-8045,-892,-81,-2337,4944,37,-2568,-86,705,2836,1733
51,5.915729714819669,51,-7839,-3629,166,-4459,7627,-341,-8107,-1502,-2290,-4723,52,-5350,108,-756,-7223,1184
52,5.99502896279206,126,576,4389,2996,3948,3475,3033,-3771,-712,-3496,2186,92,4668,-15,5009,6427,-8016
53,6.06371728722665,-80,3119,-6645,2165,-3088,-5289,4720,-7367,7905,-7591,-463,123,-2535,-106,-7736,-2971,6663
54,6.1392848360699555,116,-6978,1644,481,-5215,8068,-903,-6784,2364,-6096,-2641,100,1666,-38,6500,2768,-1496
55,6.218655502075186,67,-317,8033,-6412,-6109,723,-7637,2618,1131,-7813,-2911,41,6506,136,-7272,413,4875
56,6.285190166549419,-100,1734,7662,-925,3832,6144,-2040,3144,3809,7885,3596,239,3911,40,4077,-6804,-6582
57,6.360028567213136,-43,-4681,1761,3060,895,-6099,-7966,-2591,1409,6921,5746,86,2148,-81,5886,-4034,2511
58,6.429476830835484,-90,-3965,-2835,-3198,1473,-2754,-4245,3285,6461,-472,-8051,225,-7425,-44,-2277,-7761,1023
59,6.500632712452611,-64,4014,-4516,2640,3073,7438,-2510,8075,-7626,3102,2341,28,3427,116,-778,-5313,7143
60,6.5690084226236936,-6,-680,2666,-5579,-1357,-304,794,-1596,-7968,-1272,-7502,57,3424,-64,1155,-6476,-2905
61,6.639076782938361,-71,3634,3314,-3855,-6310,4444,-5281,6931,-3105,-5157,-399,58,-3460,148,7844,8105,-3924
62,6.704744167349129,87,-3042,-5559,-5347,-4872,816,3393,-366,6661,4004,3749,240,15,-11,6279,-7377,-3719
63,6.771134285146118,-41,7755,-665,-2245,-3483,2917,5270,-142,5214,1941,7070,122,-6133,96,7686,-7245,-7711
64,6.8490731692714295,-54,5426,8043,7762,-6309,-1092,-3833,-1065,6518,-1728,2987,251,-1247,56,-3742,-1518,2335
65,6.925937361681018,6,6648,-4795,-1489,7577,-3934,-7002,6673,7395,4758,657,32,1569,125,-3689,-7560,4111
66,6.993147717723432,-73,-4633,7599,-4202,-1587,-3514,3672,1101,71,-7931,6791,245,1597,-53,-486,-2502,443
67,7.068147343527153,85,-7846,4041,-6837,-3320,-2170,-1786,-3078,6767,-423,3433,38,-3096,148,864,-2366,6347
