Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,4.390820858342118,20,-4866,-3411,-6572,1832,-3057,-2534,1794,4694,-2130,4872,85,7680,12,-3904,-7152,4596
50,4.458951951059404,139,4950,-6287,-4238,-3213,2695,2502,-3405,6665,5660,-6224,239,689,-84,4367,4206,-8019
51,4.533656068715267,-105,1228,696,-5462,90,-705,-5348,6437,-2938,978,-1823,62,4728,77,-4186,1468,-2491
52,4.613671635280508,-96,-2980,-301,-7843,6322,221,6403,-901,4554,6658,-1768,87,-635,109,-5904,2710,2059
53,4.684415259510466,145,4846,8057,-7951,-2632,7036,5207,3013,-4484,5971,-6267,124,7781,84,7842,-1213,7474
54,4.753336654770789,78,7839,-7422,-7751,5288,-1878,2659,-97,-2037,568,1849,92,5565,58,-8117,-3712,468
55,4.820819853357824,-45,-2463,-412,5643,117,-1273,2093,-2184,3997,-2863,-609,253,7980,-44,-61,5099,-2540
56,4.8951275367834945,143,7621,1590,-1052,-3156,-4038,733,1021,-4137,-7791,-5165,96,-1048,-21,-7442,7150,-2880
57,4.963033256427089,114,7444,-1969,5933,-6919,2010,-666,1219,-130,-7292,-6133,122,-5496,-79,7912,-7105,-5058
58,5.036087061575602,100,-2624,6067,-321,-3230,5297,1919,-1789,-6478,-1323,1483,55,785,85,-6298,1284,-3374
59,5.103588221584069,-67,1438,-7250,7540,7506,-3037,-617,3222,3177,3217,-4155,98,-7315,42,-5390,-8096,-5085
60,5.170639063098045,86,-3622,1318,-4859,6219,-6454,-2980,-6589,-1690,4358,-6077,252,-7656,-21,-4719,-3415,448
61,5.242807199108771,-67,7822,-5689,7722,4031,5204,-4319,-3489,-749,-3873,-6720,19,-6049,-69,-6909,-7130,7990
62,5.309934590490283,80,1573,95,7749,-4636,-2973,-8181,-4882,1231,6235,1490,233,-3011,126,-7665,3048,3454
63,5.3838697882476705,-15,3758,-1412,4328,6868,7056,-7578,4083,903,2982,-5850,237,-7221,34,-7675,1068,-4454
64,5.454169081123616,-80,4954,4529,-4313,-7178,7314,8008,-4821,6499,-3137,-8150,121,-6078,145,6342,-6753,2850
65,5.534818429273695,-50,-5270,-1384,-5137,6567,4279,5333,2746,3062,-3862,3998,228,-7127,2,-2463,1989,-4521
66,5.6093339520045165,-75,-6423,-834,-2026,-2572,-4596,7339,-431,3519,-1108,-505,28,7795,-56,-2495,275,-7197
67,5.683712625810135,112,5622,-6161,-5365,426,4040,-83,4358,-3343,4138,-4603,45,-1093,109,-5026,-1357,2523
68,5.7594465316281385,140,2721,1277,2071,4493,-2744,356,-2611,-1646,1015,4505,225,7645,96,-3643,3932,2298
69,5.828696791961836,-30,7002,-3039,-3835,-782,-7676,249,-7414,-3516,7404,-1306,226,5496,-81,20,-1159,5651
70,5.901958864068391,99,5464,-7124,4560,2311,-8156,4716,2692,-2119,2671,6366,113,-1923,64,-4986,1239,5060
71,5.96767414560298,-88,6457,7085,2813,-4198,-3641,-434,11,-2452,-712,-3645,19,-5734,-65,-5616,-2833,-8101
72,6.049942587599349,-39,-5861,-4302,1109,8191,-4454,-6823,5639,4664,2613,-6366,39,-8144,-68,361,-7444,1259
73,6.1304516656010986,143,-4131,-7642,-1961,5691,-727,1247,-4116,3326,498,-2959,94,4791,93,4000,-8049,-2525
74,6.208568025676279,109,7997,-6937,-4665,-1351,-5900,-79,-2775,7621,2712,6950,250,1126,88,-4075,-7450,4278
75,6.283685256025095,107,-1822,-3670,5274,5716,5183,6772,-6306,-2292,-2260,-5173,231,-3161,-98,-1192,4067,5021
76,6.362774954080771,43,8160,-486,-2771,-3295,-7391,1157,7501,-5999,-5455,5659,225,6978,105,4672,7358,-6996
77,6.427934714509621,84,6340,-1092,-1547,157,-1222,-8040,-3157,-7010,194,4672,112,814,97,1067,-7722,-989
78,6.505206032471684,22,-3182,-1966,4613,-1866,335,-3515,7282,4382,-7565,1812,60,1108,130,6224,8120,314
79,6.5722354913410985,146,7628,-6890,-6391,2431,-5581,-4615,-6441,-3870,-5394,-1383,226,5446,-3,-2060,8009,-4920
80,6.645352161464626,-99,6932,-5145,3242,-5828,5363,4491,6645,-3326,-700,1295,99,-1299,66,1006,4032,6780
81,6.712032227921885,-2,6839,-2173,400,7873,-7007,6606,6600,-5557,-5804,-2739,224,6538,28,3453,-4321,742
82,6.77579570166079,83,6796,-4743,3291,5310,-5324,6760,-7156,4700,7970,7286,85,-5981,-50,-2063,1173,-6121
83,6.848759272049248,3,-4529,-7347,2025,2173,-7855,-7065,-6748,-7669,-1811,2298,21,-5810,-24,3132,-3592,4570
84,6.916397280982918,-20,-1913,-6893,6386,-2139,-6361,-7971,-5901,-6560,3316,-555,122,-3165,118,5327,6918,4499
85,6.989071330363997,-95,8026,6474,2105,4220,2503,907,-6068,-5429,8077,-3297,112,-1883,-91,3186,-8165,-1753
86,7.056082400159087,44,1699,6991,-2751,-6279,-5326,6925,2034,-7676,5307,-4050,58,3829,102,-2555,-4398,3456
87,7.132601904338324,49,-4943,3937,7158,6066,-915,1541,1868,-510,-1365,-4744,24,32,149,7823,836,4293
88,7.2064759477322635,8,-2945,-4879,6365,-3732,-4232,-2192,3320,514,6881,845,232,2187,140,4529,5334,-4562
89,7.278916070981827,77,2398,7196,-5884,-6633,6020,-6775,3057,-2739,-3384,-5102,116,3225,-36,-1293,2936,-5100
90,7.3573510324609925,131,-6619,3633,6972,-5473,3864,-4131,-6069,-3423,6391,-966,60,-7227,-86,6288,1453,4170
91,7.430502342468712,110,3987,-7839,-6894,-685,-3976,-479,4275,1423,-219,-3092,28,-4437,-7,-7255,1910,-3576
92,7.499923663958911,104,-5385,-7937,-7289,-5142,-6574,-5998,3881,3649,1324,941,89,4365,-76,-3961,-1387,-6385
93,7.571960510532022,137,-1496,2295,-2174,-4764,-533,2521,4068,-1436,1462,6609,106,-5604,-25,-3608,789,3836
94,7.640500011760454,-7,6231,685,-4835,6031,4992,-7837,-7222,-4223,-2716,5882,231,-2785,26,4226,-1763,5882
95,7.712370929011758,-61,-2707,-2401,727,-2588,-7355,7710,1829,2203,-257,7560,127,-6340,-20,-5155,-7025,-787
96,7.779773301202346,19,-5314,2016,4746,2532,-7279,-2218,4738,-3733,-3614,-6571,240,-7316,33,-3394,-7670,-2032
97,7.847941172068279,81,-4950,-5935,7205,-7938,-4625,-684,1050,5824,-5499,7202,40,647,96,1559,4307,-690
98,7.920779012506709,-42,-8189,-4016,-5525,6033,-7961,-4599,-4242,-3824,-3935,-5661,34,6933,146,-1444,7269,-5714
99,7.9889054010421905,-48,972,-736,2168,3823,1670,2859,-7364,2915,-7526,3146,32,-3860,-3,-265,-3763,2322
100,8.065089197701793,121,-6059,5495,-1706,3307,-369,-2177,-3991,786,-1539,5476,109,-2800,80,3426,-3443,-7643
101,8.139502511391603,-9,-7426,6185,-6831,-1195,-1175,-6461,-4030,5849,6303,-2574,245,42,132,6108,-5059,-5865
102,8.211121541089959,-68,3002,3451,6303,-8028,8046,-4370,-6024,-2834,5307,5008,105,3839,-98,-6746,7265,7209
103,8.284035931395923,97,3339,6283,-7604,-1259,4327,-3716,2327,412,-8020,-827,230,545,38,3583,-8081,-3677
104,8.360448522352348,83,402,2582,6560,3139,-6557,7442,5146,7472,1092,-5678,30,6278,42,5775,2938,2377
105,8.427196585619317,-82,1736,5383,-7164,-5940,3125,-746,4880,-3943,1835,6151,110,767,-77,-281,-746,-4152
