Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
49,3.9027461730411894,-35,-6542,5260,-5704,-5842,3012,2465,-7520,5386,-1656,-1443,115,6822,44,4794,3652,7465
50,3.9763007597253615,-60,-6336,3688,56,628,-2158,5568,-2849,-6171,6270,-3464,250,3702,-29,-1093,4974,-4959
51,4.048193059621227,43,-4708,-7925,-2563,7304,-62,-1017,5622,2475,-4224,5606,97,-2271,64,-1752,8080,7809
52,4.137729462504463,124,822,-7211,2387,-4221,-439,-607,3410,-3370,-5265,7128,52,-231,115,-3334,109,8019
53,4.208122411363592,-12,1046,4699,793,6045,-1545,-4423,-886,449,2085,-6907,227,-3258,-79,-2664,-4715,6622
54,4.279690550367889,-63,5563,2465,5722,-3055,-6647,-5205,4781,-4036,6414,7378,113,-2038,-95,-7432,1825,88
55,4.353535941018113,124,6258,-7211,2551,-4221,725,-607,7770,-3370,2449,7128,252,-231,115,-3334,5263,2701
56,4.42398619536467,-105,-7422,-7844,-4257,2678,-4863,6256,-1789,6791,-1987,-4308,58,-7751,29,407,-4442,7719
57,4.499357879183782,109,-7866,-5257,1801,5944,3659,8051,-3159,6071,4654,5332,93,4420,29,7562,1451,6689
58,4.573019379090767,10,-6647,5352,5223,-786,4641,6804,7918,-2796,2648,700,91,7016,61,7891,3262,-241
59,4.644188945600414,117,-2311,-5608,-5615,-2567,2610,1584,-2183,-5554,5473,-2841,34,2915,51,-4043,943,1323
60,4.722169739709067,11,6919,-4141,-3611,-4762,7080,6388,3872,8102,-3323,-8005,29,4573,-29,2658,-4218,7183
61,4.796107931036695,136,-2576,-4398,-1103,-4561,3125,-2299,3646,273,-4437,8075,224,7785,82,6048,-4362,8009
62,4.863077518501333,-1,-1833,-8077,-452,-3106,7601,-6423,5999,3559,-2619,-3960,38,-2376,-10,5765,-4519,2454
63,4.938023260040755,-86,6327,-6518,-5588,-1156,-2909,-6194,2916,-1796,6522,2692,34,4295,-21,565,3284,-2175
64,5.00682234657418,-1,388,-5264,-3195,1184,-2912,6428,4641,-3910,5953,-2182,240,-7262,-52,5262,5380,4664
65,5.090323711856035,3,1315,-6225,3258,-804,4289,-1309,-473,-6244,7164,-6087,232,1063,125,-1650,4473,6259
66,5.179820343020384,26,8044,3528,-3877,-1738,7194,7835,4937,227,2468,-5214,52,-447,63,2235,624,-106
67,5.259102057224234,142,4524,4695,-2794,-2422,7295,397,-5826,-5739,1036,4402,233,-7508,-27,425,-7838,5207
68,5.3314643476475885,-89,-1602,2994,-6619,2679,8076,124,-3062,-4824,6530,-3954,247,-1151,-75,-3447,4867,7769
69,5.404568188184379,101,5513,929,-7484,-7432,3491,474,-6738,-3895,-8162,1176,43,4240,112,-4974,5223,-6446
70,5.473293718420507,-13,-6345,2738,2602,-6190,2772,-1059,-215,-7532,6105,4501,112,1598,28,-3026,4270,-6421
71,5.54093643153598,144,978,-3209,-2545,505,3462,5730,-3267,-7530,-2863,-7633,49,2043,6,-1256,3144,-3977
72,5.6177591416151165,-84,-5134,5984,6651,-7506,7019,7874,4001,-214,-2453,-658,86,-375,39,-6445,-4750,3217
73,5.692804526278201,-80,-7697,-8130,6940,-4891,-6360,-2393,6432,-7486,-4090,1144,47,-2816,137,-5335,4759,-2718
74,5.757625585617178,112,7166,-4277,588,-6987,5737,5364,3191,5699,-2854,5794,18,5868,91,-5130,-2119,1835
75,5.8249535462046875,73,2867,2381,6897,1921,2469,5255,-22,-5541,-3535,-6603,55,1856,99,6692,-3841,5924
76,5.89260310176642,-102,-5288,-1591,7402,-2862,4406,-2089,-6961,3288,-6004,-4874,81,-3239,2,5737,4383,5521
77,5.964571096224039,13,-52,3468,5336,-5327,1898,6323,6303,7828,3796,8173,49,-7312,107,5605,4013,-307
